PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_CASSPI
201568,Danilo Gallinari,53,34.7,1838.7066666666667,19.5,1036,5.3,281,2.5,135,0.8,42,0.4,19,0.41,0.364,0.226,False
201980,Danny Green,79,26.1,2061.525,7.2,572,3.8,303,1.8,141,1.0,79,0.8,64,0.376,0.332,0.143,False
201967,Dante Cunningham,80,24.6,1970.9483333333333,6.1,484,3.0,236,1.0,77,0.5,42,0.4,33,0.451,0.316,0.11,False
201589,Darrell Arthur,70,21.7,1515.9916666666666,7.5,527,4.2,293,1.4,96,0.8,53,0.7,48,0.452,0.385,0.165,False
201954,Darren Collison,74,30.0,2218.846666666667,14.0,1035,2.3,169,4.3,318,1.0,77,0.1,4,0.486,0.401,0.19,False
1626199,Darrun Hilliard,38,10.1,383.01666666666665,4.0,152,1.2,45,0.7,27,0.2,9,0.0,1,0.397,0.38,0.19,False
101135,David Lee,55,16.4,902.93,7.8,427,5.5,305,1.5,84,0.4,22,0.5,28,0.531,0.0,0.21,False
2561,David West,78,18.0,1404.2283333333332,7.1,554,4.0,309,1.8,143,0.6,44,0.7,55,0.545,0.429,0.175,False
201599,DeAndre Jordan,77,33.7,2597.681666666667,12.7,980,13.8,1059,1.2,90,0.7,51,2.3,177,0.703,0.0,0.155,False
201971,DeJuan Blair,29,7.5,218.07,2.1,61,2.0,57,0.4,11,0.3,8,0.1,2,0.412,0.0,0.166,False
201942,DeMar DeRozan,78,35.9,2803.795,23.5,1830,4.5,349,4.0,315,1.0,81,0.3,21,0.446,0.338,0.291,False
202326,DeMarcus Cousins,65,34.6,2245.835,26.9,1748,11.5,747,3.3,214,1.6,101,1.4,92,0.451,0.333,0.351,False
201960,DeMarre Carroll,26,30.2,786.4416666666667,11.0,286,4.7,122,1.0,27,1.7,44,0.2,6,0.389,0.39,0.176,False
1626153,Delon Wright,27,8.5,229.275,3.8,103,1.4,37,1.1,31,0.3,8,0.1,3,0.45,0.385,0.218,False
203471,Dennis Schröder,80,20.3,1620.9583333333333,11.0,879,2.6,204,4.4,349,0.9,70,0.1,9,0.421,0.322,0.286,False
101114,Deron Williams,65,32.4,2106.0216666666665,14.1,918,2.9,190,5.8,378,0.9,61,0.2,14,0.414,0.344,0.218,False
202324,Derrick Favors,62,32.0,1983.2016666666666,16.4,1016,8.1,503,1.5,94,1.2,74,1.5,91,0.515,0.0,0.234,False
201565,Derrick Rose,66,31.8,2097.423333333333,16.4,1080,3.4,225,4.7,311,0.7,44,0.2,14,0.427,0.293,0.266,False
202682,Derrick Williams,80,17.9,1434.865,9.3,746,3.7,296,0.9,75,0.4,29,0.1,9,0.45,0.293,0.23,False
1626164,Devin Booker,76,27.7,2107.665,13.8,1048,2.5,187,2.6,200,0.6,44,0.3,20,0.423,0.343,0.228,False
2734,Devin Harris,64,20.0,1280.45,7.6,487,2.2,138,1.8,118,0.9,60,0.2,13,0.447,0.329,0.168,False
203906,Devyn Marble,28,8.9,248.74666666666667,2.1,60,1.4,38,0.4,12,0.5,13,0.0,1,0.296,0.25,0.153,False
203473,Dewayne Dedmon,58,12.2,704.875,4.4,255,3.9,228,0.2,13,0.4,22,0.8,46,0.559,0.0,0.151,False
203079,Dion Waiters,78,27.6,2151.6233333333334,9.8,762,2.6,202,2.0,154,1.0,81,0.2,15,0.399,0.358,0.173,False
1717,Dirk Nowitzki,75,31.5,2363.5066666666667,18.3,1372,6.5,489,1.8,132,0.7,52,0.7,52,0.448,0.368,0.249,False
202388,Donald Sloan,61,21.6,1317.8033333333333,7.0,424,2.8,173,4.4,268,0.5,32,0.1,4,0.44,0.384,0.163,False
202700,Donatas Motiejunas,37,14.8,546.6933333333334,6.2,230,2.9,109,1.1,41,0.5,17,0.1,5,0.439,0.281,0.214,False
203926,Doug McDermott,81,23.0,1860.56,9.4,764,2.4,195,0.7,59,0.2,14,0.1,6,0.452,0.425,0.166,False
203110,Draymond Green,81,34.7,2807.9983333333334,14.0,1131,9.5,769,7.4,598,1.5,119,1.4,113,0.49,0.388,0.184,False
2400,Drew Gooden,30,10.2,305.17833333333334,2.7,82,2.8,85,0.4,13,0.3,8,0.4,11,0.32,0.171,0.169,False
1626251,Duje Dukan,1,24.2,24.233333333333334,6.0,6,4.0,4,1.0,1,1.0,1,0.0,0,0.2,0.4,0.154,False
2730,Dwight Howard,71,32.1,2279.6633333333334,13.7,976,11.8,835,1.4,98,1.0,69,1.6,113,0.62,0.0,0.184,False
203939,Dwight Powell,69,14.4,991.6283333333333,5.8,399,4.0,273,0.6,44,0.5,36,0.3,24,0.493,0.125,0.175,False
2548,Dwyane Wade,74,30.5,2257.995,19.0,1409,4.1,302,4.6,344,1.1,79,0.6,42,0.456,0.159,0.31,False
202734,E'Twaun Moore,59,21.4,1263.1,7.5,443,2.3,133,1.7,99,0.6,37,0.3,18,0.481,0.452,0.157,False
202334,Ed Davis,81,20.8,1684.1866666666667,6.5,526,7.4,599,1.1,88,0.7,57,0.9,72,0.611,0.0,0.125,False
204002,Edy Tavares,11,6.6,72.65,2.3,25,1.9,21,0.3,3,0.1,1,0.5,6,0.579,0.0,0.167,False
203901,Elfrid Payton,73,29.4,2144.92,10.7,778,3.6,261,6.4,467,1.2,89,0.3,20,0.436,0.326,0.198,False
202407,Elijah Millsap,20,8.6,172.775,1.8,36,1.8,35,1.0,19,0.4,7,0.2,3,0.282,0.083,0.141,False
202343,Elliot Williams,5,9.0,45.138333333333335,1.6,8,0.8,4,0.8,4,0.0,0,0.0,0,0.2,0.25,0.138,False
1882,Elton Brand,17,13.2,224.695,4.1,70,3.7,63,1.1,18,0.5,9,0.5,8,0.431,0.0,0.168,False
1626144,Emmanuel Mudiay,68,30.4,2067.8866666666668,12.8,872,3.4,232,5.5,372,1.0,65,0.5,35,0.364,0.319,0.25,False
202683,Enes Freedom,82,21.0,1720.6783333333333,12.7,1038,8.1,664,0.4,33,0.3,26,0.4,33,0.576,0.476,0.229,False
202339,Eric Bledsoe,31,34.2,1058.7716666666668,20.4,632,4.0,125,6.1,190,2.0,63,0.6,19,0.453,0.372,0.27,False
201569,Eric Gordon,45,32.9,1481.3516666666667,15.2,686,2.2,99,2.7,121,1.0,43,0.3,14,0.418,0.384,0.203,False
203961,Eric Moreland,8,5.9,47.583333333333336,1.0,8,1.4,11,0.1,1,0.0,0,0.5,4,0.5,0.0,0.096,False
203475,Erick Green,9,4.7,42.13333333333333,1.4,13,0.7,6,0.3,3,0.1,1,0.0,0,0.385,0.2,0.138,False
101141,Ersan Ilyasova,74,25.4,1880.3866666666668,10.4,767,5.4,403,0.9,67,0.7,52,0.4,33,0.424,0.371,0.18,False
203095,Evan Fournier,79,32.5,2566.088333333333,15.4,1213,2.8,225,2.7,214,1.2,96,0.0,2,0.462,0.4,0.2,False
202323,Evan Turner,81,28.0,2270.6983333333333,10.5,854,4.9,397,4.4,359,1.0,80,0.3,28,0.456,0.241,0.184,False
203105,Festus Ezeli,46,16.7,770.1883333333334,7.0,320,5.6,257,0.7,32,0.4,18,1.1,50,0.548,0.0,0.177,False
1626163,Frank Kaminsky,81,21.1,1707.5733333333333,7.5,606,4.1,335,1.2,98,0.5,38,0.5,43,0.41,0.337,0.166,False
202066,Garrett Temple,80,24.4,1951.195,7.3,582,2.7,212,1.8,140,0.9,69,0.2,18,0.398,0.345,0.14,False
203914,Gary Harris,76,32.1,2438.6366666666668,12.3,932,2.9,220,1.9,147,1.3,97,0.2,18,0.469,0.354,0.16,False
202390,Gary Neal,40,20.2,807.4283333333333,9.8,390,2.1,83,1.2,47,0.5,20,0.0,1,0.465,0.41,0.204,False
201588,George Hill,74,34.1,2524.4133333333334,12.1,894,4.0,298,3.5,259,1.1,83,0.2,17,0.441,0.408,0.157,False
101123,Gerald Green,69,22.6,1557.2183333333332,8.9,616,2.4,163,0.8,56,0.6,38,0.3,19,0.392,0.323,0.192,False
201945,Gerald Henderson,72,19.9,1431.0666666666666,8.7,624,2.9,211,1.0,75,0.5,39,0.3,19,0.439,0.353,0.201,False
203507,Giannis Antetokounmpo,80,35.3,2823.4133333333334,16.9,1350,7.7,612,4.3,345,1.2,94,1.4,113,0.506,0.257,0.221,False
203922,Glenn Robinson III,45,11.3,508.1983333333333,3.8,171,1.5,68,0.6,26,0.4,17,0.2,9,0.43,0.378,0.157,False
201609,Goran Dragic,72,32.8,2362.62,14.1,1018,3.8,277,5.8,419,1.0,71,0.2,17,0.477,0.312,0.211,False
202330,Gordon Hayward,80,36.2,2892.9566666666665,19.7,1578,5.0,397,3.7,296,1.2,95,0.3,27,0.433,0.349,0.25,False
203476,Gorgui Dieng,82,27.1,2220.068333333333,10.1,827,7.1,585,1.7,143,1.1,94,1.2,96,0.532,0.3,0.165,False
202328,Greg Monroe,79,29.3,2314.185,15.3,1210,8.8,696,2.3,178,0.9,72,0.8,67,0.522,0.0,0.231,False
202962,Greg Smith,18,10.7,191.94,2.4,43,2.3,42,0.3,6,0.2,4,0.1,1,0.563,0.0,0.104,False
202349,Greivis Vasquez,23,20.0,459.9116666666667,5.7,130,2.0,47,4.0,91,0.4,10,0.0,0,0.326,0.247,0.184,False
203084,Harrison Barnes,66,30.9,2041.5766666666666,11.7,774,4.9,325,1.8,117,0.6,41,0.2,10,0.466,0.383,0.156,False
202355,Hassan Whiteside,73,29.1,2125.3566666666666,14.2,1040,11.8,865,0.4,29,0.6,44,3.7,269,0.606,0.0,0.201,False
203156,Henry Sims,14,18.8,262.87166666666667,6.5,91,5.1,72,0.6,9,0.6,9,1.0,14,0.429,0.0,0.168,False
203138,Hollis Thompson,77,28.0,2153.85,9.8,758,3.5,272,1.3,99,0.5,36,0.3,24,0.397,0.38,0.157,False
203546,Ian Clark,66,8.8,578.18,3.6,236,1.0,68,1.0,64,0.3,17,0.2,13,0.441,0.357,0.193,False
101133,Ian Mahinmi,71,25.6,1815.7633333333333,9.3,660,7.1,507,1.5,104,0.9,65,1.1,75,0.589,0.0,0.157,False
202697,Iman Shumpert,54,24.4,1316.33,5.8,311,3.8,203,1.7,92,1.0,54,0.4,19,0.374,0.295,0.13,False
203477,Isaiah Canaan,77,25.5,1965.8483333333334,11.0,846,2.3,174,1.8,137,0.7,56,0.2,12,0.36,0.363,0.191,False
202738,Isaiah Thomas,82,32.2,2644.403333333333,22.2,1823,3.0,243,6.2,509,1.1,91,0.1,9,0.428,0.359,0.289,False
202397,Ish Smith,77,29.1,2238.81,12.6,972,4.0,305,6.5,502,1.1,88,0.3,24,0.411,0.329,0.235,False
200826,J.J. Barea,74,22.5,1666.9083333333333,10.9,808,2.1,152,4.1,302,0.4,26,0.0,2,0.446,0.385,0.229,False
201581,JJ Hickson,35,12.5,436.5466666666667,5.9,206,3.8,132,0.7,23,0.4,15,0.4,14,0.516,0.0,0.22,False
1626266,JJ O'Brien,2,3.1,6.266666666666667,0.0,0,0.5,1,0.0,0,0.5,1,0.0,0,0.0,0.0,0.071,False
200755,JJ Redick,75,28.0,2096.8316666666665,16.3,1226,1.9,139,1.4,106,0.6,42,0.1,5,0.48,0.475,0.22,False
2747,JR Smith,77,30.7,2361.9883333333332,12.4,955,2.8,217,1.7,130,1.1,81,0.3,21,0.415,0.4,0.177,False
203960,JaKarr Sampson,73,15.9,1159.7316666666666,5.1,374,2.6,190,0.6,46,0.3,23,0.5,33,0.442,0.222,0.165,False
203210,JaMychal Green,78,18.5,1446.12,7.4,578,4.8,373,0.9,67,0.6,46,0.4,33,0.465,0.333,0.188,False
201580,JaVale McGee,34,10.9,369.78333333333336,5.1,172,3.9,133,0.1,3,0.1,5,0.8,26,0.575,0.0,0.206,False
203953,Jabari Parker,76,31.7,2407.971666666667,14.1,1070,5.2,395,1.7,130,0.9,69,0.4,29,0.493,0.257,0.206,False
203109,Jae Crowder,73,31.6,2308.19,14.2,1038,5.1,373,1.8,135,1.7,126,0.5,35,0.443,0.336,0.181,False
1626143,Jahlil Okafor,53,30.0,1590.565,17.5,928,7.0,373,1.2,65,0.4,22,1.2,61,0.508,0.167,0.272,False
2037,Jamal Crawford,79,26.9,2126.15,14.2,1120,1.8,145,2.3,183,0.7,52,0.2,12,0.404,0.34,0.239,False
2749,Jameer Nelson,39,26.6,1035.655,7.7,299,2.9,115,4.9,190,0.6,25,0.1,5,0.368,0.299,0.163,False
202341,James Anderson,51,14.1,720.9833333333333,3.5,179,1.7,86,0.8,41,0.4,21,0.3,14,0.376,0.267,0.134,False
203516,James Ennis III,22,14.9,328.515,7.2,159,1.9,42,1.0,21,0.7,16,0.2,5,0.478,0.448,0.196,False
201935,James Harden,82,38.1,3124.635,29.0,2376,6.1,501,7.5,612,1.7,139,0.6,51,0.439,0.359,0.319,False
201949,James Johnson,57,16.2,925.7316666666667,5.0,287,2.2,126,1.2,67,0.5,29,0.6,33,0.475,0.303,0.157,False
